sale_id,date_key,customer_key,product_key,region_key,quantity,unit_price,unit_cost
1,2024-01-01,50,1,5,2,324.8,105.02
2,2024-01-01,15,10,1,3,284.96,70.7
3,2024-01-01,212,23,4,4,51.51,19.97
4,2024-01-01,32,2,5,5,247.83,148.51
5,2024-01-01,131,21,2,1,101.64,31.2
6,2024-01-01,60,24,3,5,348.01,59.36
7,2024-01-01,114,23,3,4,51.51,19.97
8,2024-01-01,138,17,5,5,252.54,51.1
9,2024-01-02,163,14,4,1,248.64,22.76
10,2024-01-02,244,21,2,3,101.64,31.2
11,2024-01-02,89,5,5,4,131.48,120.09
12,2024-01-02,114,25,3,6,494.77,64.02
13,2024-01-02,117,21,3,6,101.64,31.2
14,2024-01-02,151,17,1,2,252.54,51.1
15,2024-01-02,203,15,3,2,90.15,54.48
16,2024-01-02,219,1,2,6,324.8,105.02
17,2024-01-03,57,27,1,5,138.02,140.76
18,2024-01-03,150,29,3,6,45.04,126.36
19,2024-01-03,89,3,5,4,133.31,78.24
20,2024-01-03,43,5,5,1,131.48,120.09
21,2024-01-03,70,26,1,3,255.64,133.06
22,2024-01-03,85,23,3,3,51.51,19.97
23,2024-01-03,247,7,4,1,479.25,69.07
24,2024-01-03,48,15,5,2,90.15,54.48
25,2024-01-03,3,5,4,5,131.48,120.09
26,2024-01-03,217,6,4,2,497.78,68.34
27,2024-01-04,29,18,3,2,96.29,125.95
28,2024-01-04,165,18,5,1,96.29,125.95
29,2024-01-04,104,21,1,1,101.64,31.2
30,2024-01-04,32,25,5,2,494.77,64.02
31,2024-01-04,180,23,2,2,51.51,19.97
32,2024-01-04,5,18,5,1,96.29,125.95
33,2024-01-05,154,8,2,5,331.43,105.62
34,2024-01-05,63,4,1,2,300.97,58.8
35,2024-01-05,148,14,3,5,248.64,22.76
36,2024-01-05,170,23,5,1,51.51,19.97
37,2024-01-05,78,13,1,3,405.4,102.7
38,2024-01-05,234,26,1,6,255.64,133.06
39,2024-01-06,201,29,1,4,45.04,126.36
40,2024-01-06,148,2,3,4,247.83,148.51
41,2024-01-06,229,2,3,4,247.83,148.51
42,2024-01-06,207,25,4,5,494.77,64.02
43,2024-01-06,47,16,3,1,478.16,47.34
44,2024-01-06,164,30,2,1,139.33,10.04
45,2024-01-06,247,25,4,3,494.77,64.02
46,2024-01-06,121,25,1,6,494.77,64.02
47,2024-01-07,212,17,4,2,252.54,51.1
48,2024-01-07,88,10,5,3,284.96,70.7
49,2024-01-07,126,22,1,6,306.67,55.26
50,2024-01-07,100,9,4,3,412.4,27.45
51,2024-01-07,30,2,3,3,247.83,148.51
52,2024-01-07,24,19,1,4,284.21,76.27
53,2024-01-07,211,11,4,2,109.72,75.28
54,2024-01-08,79,10,4,4,284.96,70.7
55,2024-01-08,70,4,1,6,300.97,58.8
56,2024-01-08,114,22,3,2,306.67,55.26
57,2024-01-08,96,2,3,6,247.83,148.51
58,2024-01-08,212,28,4,4,215.58,68.69
59,2024-01-09,28,23,3,6,51.51,19.97
60,2024-01-09,56,16,5,5,478.16,47.34
61,2024-01-09,94,29,5,6,45.04,126.36
62,2024-01-09,12,7,2,4,479.25,69.07
63,2024-01-09,78,21,1,5,101.64,31.2
64,2024-01-09,112,11,4,2,109.72,75.28
65,2024-01-09,234,25,1,1,494.77,64.02
66,2024-01-09,129,14,4,2,248.64,22.76
67,2024-01-09,9,6,5,2,497.78,68.34
68,2024-01-09,43,7,5,3,479.25,69.07
69,2024-01-09,171,1,2,2,324.8,105.02
70,2024-01-10,189,8,2,3,331.43,105.62
71,2024-01-10,217,17,4,4,252.54,51.1
72,2024-01-10,72,7,2,6,479.25,69.07
73,2024-01-10,231,20,4,2,172.95,87.87
74,2024-01-10,95,23,1,4,51.51,19.97
75,2024-01-10,85,5,3,3,131.48,120.09
76,2024-01-10,232,29,4,6,45.04,126.36
77,2024-01-10,74,5,4,6,131.48,120.09
78,2024-01-10,198,25,4,6,494.77,64.02
79,2024-01-10,189,22,2,1,306.67,55.26
80,2024-01-11,185,8,4,3,331.43,105.62
81,2024-01-11,144,11,5,4,109.72,75.28
82,2024-01-11,250,27,5,2,138.02,140.76
83,2024-01-12,161,1,2,5,324.8,105.02
84,2024-01-12,235,9,1,3,412.4,27.45
85,2024-01-12,204,7,3,5,479.25,69.07
86,2024-01-12,191,25,4,2,494.77,64.02
87,2024-01-12,32,26,5,1,255.64,133.06
88,2024-01-12,54,29,3,4,45.04,126.36
89,2024-01-12,128,7,3,6,479.25,69.07
90,2024-01-12,171,23,2,5,51.51,19.97
91,2024-01-12,249,7,3,2,479.25,69.07
92,2024-01-13,170,13,5,3,405.4,102.7
93,2024-01-13,34,25,4,5,494.77,64.02
94,2024-01-13,13,13,5,2,405.4,102.7
95,2024-01-13,2,23,2,1,51.51,19.97
96,2024-01-13,117,6,3,1,497.78,68.34
97,2024-01-13,122,25,5,1,494.77,64.02
98,2024-01-13,163,3,4,3,133.31,78.24
99,2024-01-13,46,4,3,5,300.97,58.8
100,2024-01-13,76,19,4,6,284.21,76.27
101,2024-01-14,183,28,5,3,215.58,68.69
102,2024-01-14,197,14,2,4,248.64,22.76
103,2024-01-14,142,24,2,1,348.01,59.36
104,2024-01-14,90,9,1,1,412.4,27.45
105,2024-01-14,105,23,3,3,51.51,19.97
106,2024-01-14,161,15,2,3,90.15,54.48
107,2024-01-14,180,29,2,3,45.04,126.36
108,2024-01-14,90,28,1,2,215.58,68.69
109,2024-01-14,89,17,5,6,252.54,51.1
110,2024-01-14,162,30,5,3,139.33,10.04
111,2024-01-15,42,21,2,1,101.64,31.2
112,2024-01-15,204,9,3,2,412.4,27.45
113,2024-01-15,248,1,1,3,324.8,105.02
114,2024-01-15,43,2,5,3,247.83,148.51
115,2024-01-15,55,23,5,5,51.51,19.97
116,2024-01-15,11,1,4,1,324.8,105.02
117,2024-01-16,147,11,3,6,109.72,75.28
118,2024-01-16,60,18,3,2,96.29,125.95
119,2024-01-16,83,28,5,5,215.58,68.69
120,2024-01-16,44,23,1,5,51.51,19.97
121,2024-01-16,51,25,1,1,494.77,64.02
122,2024-01-17,188,30,4,3,139.33,10.04
123,2024-01-17,65,14,5,3,248.64,22.76
124,2024-01-17,187,7,5,4,479.25,69.07
125,2024-01-17,203,13,3,3,405.4,102.7
126,2024-01-17,238,24,2,6,348.01,59.36
127,2024-01-18,77,8,4,3,331.43,105.62
128,2024-01-18,78,8,1,4,331.43,105.62
129,2024-01-18,224,25,5,2,494.77,64.02
130,2024-01-19,247,20,4,4,172.95,87.87
131,2024-01-19,183,15,5,6,90.15,54.48
132,2024-01-19,201,30,1,2,139.33,10.04
133,2024-01-19,185,6,4,5,497.78,68.34
134,2024-01-20,226,2,2,4,247.83,148.51
135,2024-01-20,125,30,4,1,139.33,10.04
136,2024-01-20,183,29,5,5,45.04,126.36
137,2024-01-20,232,16,4,2,478.16,47.34
138,2024-01-20,141,27,1,1,138.02,140.76
139,2024-01-20,206,20,4,1,172.95,87.87
140,2024-01-20,197,24,2,1,348.01,59.36
141,2024-01-20,134,10,3,2,284.96,70.7
142,2024-01-20,163,24,4,1,348.01,59.36
143,2024-01-20,228,21,1,1,101.64,31.2
144,2024-01-21,147,3,3,4,133.31,78.24
145,2024-01-21,156,12,1,4,132.74,130.55
146,2024-01-21,113,26,4,4,255.64,133.06
147,2024-01-21,68,24,4,2,348.01,59.36
148,2024-01-21,77,19,4,6,284.21,76.27
149,2024-01-21,249,25,3,2,494.77,64.02
150,2024-01-21,18,10,5,2,284.96,70.7
151,2024-01-21,236,6,3,4,497.78,68.34
152,2024-01-21,81,21,5,5,101.64,31.2
153,2024-01-21,197,9,2,3,412.4,27.45
154,2024-01-22,191,18,4,1,96.29,125.95
155,2024-01-22,137,12,2,5,132.74,130.55
156,2024-01-22,234,2,1,1,247.83,148.51
157,2024-01-22,52,21,5,2,101.64,31.2
158,2024-01-22,88,15,5,4,90.15,54.48
159,2024-01-22,132,10,5,2,284.96,70.7
160,2024-01-22,142,22,2,4,306.67,55.26
161,2024-01-22,198,9,4,2,412.4,27.45
162,2024-01-22,147,22,3,3,306.67,55.26
163,2024-01-23,151,20,1,6,172.95,87.87
164,2024-01-23,137,16,2,4,478.16,47.34
165,2024-01-23,59,25,3,6,494.77,64.02
166,2024-01-23,238,29,2,3,45.04,126.36
167,2024-01-23,172,7,3,2,479.25,69.07
168,2024-01-23,136,18,5,2,96.29,125.95
169,2024-01-23,242,4,3,6,300.97,58.8
170,2024-01-23,68,6,4,4,497.78,68.34
171,2024-01-24,137,20,2,3,172.95,87.87
172,2024-01-24,129,8,4,3,331.43,105.62
173,2024-01-24,222,3,1,5,133.31,78.24
174,2024-01-24,208,21,2,6,101.64,31.2
175,2024-01-24,30,30,3,3,139.33,10.04
176,2024-01-24,248,19,1,1,284.21,76.27
177,2024-01-24,138,7,5,2,479.25,69.07
178,2024-01-24,3,23,4,5,51.51,19.97
179,2024-01-24,142,25,2,5,494.77,64.02
180,2024-01-25,111,21,4,6,101.64,31.2
181,2024-01-25,176,14,1,6,248.64,22.76
182,2024-01-25,67,13,5,5,405.4,102.7
183,2024-01-25,47,23,3,4,51.51,19.97
184,2024-01-25,4,7,3,6,479.25,69.07
185,2024-01-25,248,10,1,4,284.96,70.7
186,2024-01-26,229,7,3,6,479.25,69.07
187,2024-01-26,67,22,5,6,306.67,55.26
188,2024-01-26,171,21,2,4,101.64,31.2
189,2024-01-26,73,16,5,5,478.16,47.34
190,2024-01-26,229,24,3,2,348.01,59.36
191,2024-01-26,172,2,3,3,247.83,148.51
192,2024-01-26,96,9,3,3,412.4,27.45
193,2024-01-26,110,17,4,5,252.54,51.1
194,2024-01-26,68,2,4,6,247.83,148.51
195,2024-01-27,60,29,3,2,45.04,126.36
196,2024-01-27,86,4,4,6,300.97,58.8
197,2024-01-27,233,26,4,2,255.64,133.06
198,2024-01-27,198,6,4,5,497.78,68.34
199,2024-01-27,81,6,5,5,497.78,68.34
200,2024-01-28,236,24,3,6,348.01,59.36
201,2024-01-28,22,20,2,1,172.95,87.87
202,2024-01-28,218,2,2,6,247.83,148.51
203,2024-01-28,212,16,4,5,478.16,47.34
204,2024-01-28,47,20,3,2,172.95,87.87
205,2024-01-28,97,13,4,3,405.4,102.7
206,2024-01-28,202,15,5,1,90.15,54.48
207,2024-01-28,38,6,1,2,497.78,68.34
208,2024-01-28,151,30,1,4,139.33,10.04
209,2024-01-28,161,21,2,4,101.64,31.2
210,2024-01-28,104,6,1,4,497.78,68.34
211,2024-01-29,173,4,4,6,300.97,58.8
212,2024-01-29,165,7,5,5,479.25,69.07
213,2024-01-29,46,27,3,1,138.02,140.76
214,2024-01-29,87,4,4,1,300.97,58.8
215,2024-01-29,248,4,1,4,300.97,58.8
216,2024-01-29,168,26,5,3,255.64,133.06
217,2024-01-29,103,18,2,6,96.29,125.95
218,2024-01-29,70,16,1,1,478.16,47.34
219,2024-01-30,193,2,2,5,247.83,148.51
220,2024-01-30,65,19,5,2,284.21,76.27
221,2024-01-30,133,12,5,4,132.74,130.55
222,2024-01-30,82,3,4,1,133.31,78.24
223,2024-01-30,102,15,5,4,90.15,54.48
224,2024-01-30,116,21,4,4,101.64,31.2
225,2024-01-30,73,25,5,5,494.77,64.02
226,2024-01-30,15,26,1,4,255.64,133.06
227,2024-01-30,165,8,5,1,331.43,105.62
228,2024-01-31,62,9,1,4,412.4,27.45
229,2024-01-31,70,9,1,5,412.4,27.45
230,2024-01-31,144,26,5,4,255.64,133.06
231,2024-01-31,200,8,2,6,331.43,105.62
232,2024-01-31,112,25,4,4,494.77,64.02
233,2024-01-31,88,29,5,2,45.04,126.36
234,2024-01-31,93,11,2,3,109.72,75.28
235,2024-01-31,211,25,4,3,494.77,64.02
236,2024-01-31,115,22,2,1,306.67,55.26
237,2024-01-31,24,21,1,3,101.64,31.2
238,2024-01-31,171,3,2,1,133.31,78.24
239,2024-01-31,128,30,3,6,139.33,10.04
240,2024-02-01,203,11,3,4,109.72,75.28
241,2024-02-01,100,11,4,2,109.72,75.28
242,2024-02-01,67,17,5,1,252.54,51.1
243,2024-02-01,218,26,2,2,255.64,133.06
244,2024-02-01,140,6,5,6,497.78,68.34
245,2024-02-01,20,30,4,2,139.33,10.04
246,2024-02-01,161,12,2,4,132.74,130.55
247,2024-02-01,141,17,1,5,252.54,51.1
248,2024-02-01,126,13,1,1,405.4,102.7
249,2024-02-01,133,29,5,2,45.04,126.36
250,2024-02-02,159,26,4,4,255.64,133.06
251,2024-02-02,247,23,4,4,51.51,19.97
252,2024-02-02,107,7,5,2,479.25,69.07
253,2024-02-02,71,8,4,2,331.43,105.62
254,2024-02-03,167,6,2,6,497.78,68.34
255,2024-02-03,14,7,2,3,479.25,69.07
256,2024-02-03,102,20,5,5,172.95,87.87
257,2024-02-04,29,19,3,4,284.21,76.27
258,2024-02-04,215,10,2,1,284.96,70.7
259,2024-02-04,150,27,3,3,138.02,140.76
260,2024-02-04,196,29,3,1,45.04,126.36
261,2024-02-04,194,23,5,2,51.51,19.97
262,2024-02-04,125,30,4,4,139.33,10.04
263,2024-02-05,16,12,2,3,132.74,130.55
264,2024-02-05,191,16,4,6,478.16,47.34
265,2024-02-05,7,9,2,1,412.4,27.45
266,2024-02-05,230,18,4,2,96.29,125.95
267,2024-02-05,248,2,1,4,247.83,148.51
268,2024-02-05,244,18,2,5,96.29,125.95
269,2024-02-05,81,13,5,6,405.4,102.7
270,2024-02-05,182,15,3,1,90.15,54.48
271,2024-02-05,219,19,2,3,284.21,76.27
272,2024-02-06,191,9,4,3,412.4,27.45
273,2024-02-06,48,10,5,6,284.96,70.7
274,2024-02-06,34,2,4,5,247.83,148.51
275,2024-02-07,10,19,4,3,284.21,76.27
276,2024-02-07,218,17,2,2,252.54,51.1
277,2024-02-07,158,13,4,5,405.4,102.7
278,2024-02-07,203,8,3,1,331.43,105.62
279,2024-02-07,67,3,5,4,133.31,78.24
280,2024-02-08,135,26,4,3,255.64,133.06
281,2024-02-08,122,13,5,4,405.4,102.7
282,2024-02-08,234,26,1,3,255.64,133.06
283,2024-02-08,125,3,4,6,133.31,78.24
284,2024-02-09,137,8,2,6,331.43,105.62
285,2024-02-09,56,11,5,1,109.72,75.28
286,2024-02-09,205,6,2,4,497.78,68.34
287,2024-02-09,166,23,1,6,51.51,19.97
288,2024-02-09,102,21,5,5,101.64,31.2
289,2024-02-09,1,6,1,5,497.78,68.34
290,2024-02-09,123,1,4,3,324.8,105.02
291,2024-02-09,19,30,2,2,139.33,10.04
292,2024-02-10,213,9,3,1,412.4,27.45
293,2024-02-10,165,5,5,6,131.48,120.09
294,2024-02-10,58,19,3,4,284.21,76.27
295,2024-02-10,164,30,2,6,139.33,10.04
296,2024-02-10,52,27,5,2,138.02,140.76
297,2024-02-11,124,28,4,3,215.58,68.69
298,2024-02-11,222,2,1,2,247.83,148.51
299,2024-02-11,166,5,1,3,131.48,120.09
300,2024-02-11,108,10,2,6,284.96,70.7
301,2024-02-11,77,9,4,3,412.4,27.45
302,2024-02-11,95,13,1,2,405.4,102.7
303,2024-02-11,210,28,2,5,215.58,68.69
304,2024-02-11,224,6,5,3,497.78,68.34
305,2024-02-12,225,2,2,3,247.83,148.51
306,2024-02-12,136,8,5,3,331.43,105.62
307,2024-02-12,139,21,1,5,101.64,31.2
308,2024-02-12,105,27,3,2,138.02,140.76
309,2024-02-12,154,21,2,3,101.64,31.2
310,2024-02-12,40,11,1,5,109.72,75.28
311,2024-02-12,191,1,4,5,324.8,105.02
312,2024-02-12,147,2,3,1,247.83,148.51
313,2024-02-12,118,26,2,2,255.64,133.06
314,2024-02-12,173,16,4,4,478.16,47.34
315,2024-02-12,217,15,4,5,90.15,54.48
316,2024-02-13,248,27,1,5,138.02,140.76
317,2024-02-13,112,14,4,6,248.64,22.76
318,2024-02-13,59,21,3,2,101.64,31.2
319,2024-02-13,224,17,5,5,252.54,51.1
320,2024-02-13,11,18,4,3,96.29,125.95
321,2024-02-14,243,4,5,5,300.97,58.8
322,2024-02-14,110,17,4,3,252.54,51.1
323,2024-02-14,110,9,4,1,412.4,27.45
324,2024-02-14,230,10,4,1,284.96,70.7
325,2024-02-14,64,9,4,3,412.4,27.45
326,2024-02-14,211,16,4,6,478.16,47.34
327,2024-02-14,18,6,5,3,497.78,68.34
328,2024-02-14,119,11,1,6,109.72,75.28
329,2024-02-14,89,21,5,4,101.64,31.2
330,2024-02-14,183,6,5,4,497.78,68.34
331,2024-02-15,211,23,4,4,51.51,19.97
332,2024-02-15,208,8,2,6,331.43,105.62
333,2024-02-15,48,17,5,5,252.54,51.1
334,2024-02-15,63,27,1,6,138.02,140.76
335,2024-02-15,126,20,1,5,172.95,87.87
336,2024-02-15,97,3,4,2,133.31,78.24
337,2024-02-15,91,3,3,2,133.31,78.24
338,2024-02-15,115,26,2,5,255.64,133.06
339,2024-02-16,232,18,4,4,96.29,125.95
340,2024-02-16,81,13,5,1,405.4,102.7
341,2024-02-16,97,7,4,3,479.25,69.07
342,2024-02-16,158,19,4,2,284.21,76.27
343,2024-02-16,15,17,1,3,252.54,51.1
344,2024-02-16,77,12,4,6,132.74,130.55
